model,batch_size,sequence_length,result
MiniLM_multilingual,2,2,0.0065
MiniLM_multilingual,2,4,0.0064
MiniLM_multilingual,2,8,0.0068
MiniLM_multilingual,2,16,0.0071
MiniLM_multilingual,2,32,0.0074
MiniLM_multilingual,2,64,0.0074
MiniLM_multilingual,2,128,0.0072
MiniLM_multilingual,2,256,0.0074
MiniLM_multilingual,2,512,0.0101
MiniLM_multilingual,4,1,0.0059
MiniLM_multilingual,4,2,0.0064
MiniLM_multilingual,4,4,0.0067
MiniLM_multilingual,4,8,0.0073
MiniLM_multilingual,4,16,0.0072
MiniLM_multilingual,4,32,0.0074
MiniLM_multilingual,4,64,0.0073
MiniLM_multilingual,4,128,0.0074
MiniLM_multilingual,4,256,0.0083
MiniLM_multilingual,4,512,0.0182
MiniLM_multilingual,8,1,0.0059
MiniLM_multilingual,8,2,0.0069
MiniLM_multilingual,8,4,0.0071
MiniLM_multilingual,8,8,0.0072
MiniLM_multilingual,8,16,0.0073
MiniLM_multilingual,8,32,0.0073
MiniLM_multilingual,8,64,0.0075
MiniLM_multilingual,8,128,0.0076
MiniLM_multilingual,8,256,0.0148
MiniLM_multilingual,8,512,0.0314
MiniLM_multilingual,16,1,0.0063
MiniLM_multilingual,16,2,0.0072
MiniLM_multilingual,16,4,0.0072
MiniLM_multilingual,16,8,0.0073
MiniLM_multilingual,16,16,0.0072
MiniLM_multilingual,16,32,0.0076
MiniLM_multilingual,16,64,0.0071
MiniLM_multilingual,16,128,0.0131
MiniLM_multilingual,16,256,0.0250
MiniLM_multilingual,16,512,0.0607
MiniLM_multilingual,32,1,0.0067
MiniLM_multilingual,32,2,0.0072
MiniLM_multilingual,32,4,0.0074
MiniLM_multilingual,32,8,0.0072
MiniLM_multilingual,32,16,0.0075
MiniLM_multilingual,32,32,0.0071
MiniLM_multilingual,32,64,0.0121
MiniLM_multilingual,32,128,0.0216
MiniLM_multilingual,32,256,0.0476
MiniLM_multilingual,32,512,0.1182
mBERT_cased,1,1,0.0059
mBERT_cased,1,2,0.0061
mBERT_cased,1,4,0.0063
mBERT_cased,1,8,0.0067
mBERT_cased,1,16,0.0066
mBERT_cased,1,32,0.0072
mBERT_cased,1,64,0.0073
mBERT_cased,1,128,0.0071
mBERT_cased,1,256,0.0096
mBERT_cased,1,512,0.0169
mBERT_cased,2,1,0.0060
mBERT_cased,2,2,0.0067
mBERT_cased,2,4,0.0071
mBERT_cased,2,8,0.0070
mBERT_cased,2,16,0.0074
mBERT_cased,2,32,0.0076
mBERT_cased,2,64,0.0074
mBERT_cased,2,128,0.0097
mBERT_cased,2,256,0.0163
mBERT_cased,2,512,0.0309
mBERT_cased,4,1,0.0062
mBERT_cased,4,2,0.0071
mBERT_cased,4,4,0.0070
mBERT_cased,4,8,0.0074
mBERT_cased,4,16,0.0074
mBERT_cased,4,32,0.0074
mBERT_cased,4,64,0.0096
mBERT_cased,4,128,0.0158
mBERT_cased,4,256,0.0294
mBERT_cased,4,512,0.0577
mBERT_cased,8,1,0.0065
mBERT_cased,8,2,0.0071
mBERT_cased,8,4,0.0073
mBERT_cased,8,8,0.0075
mBERT_cased,8,16,0.0073
mBERT_cased,8,32,0.0096
mBERT_cased,8,64,0.0156
mBERT_cased,8,128,0.0280
mBERT_cased,8,256,0.0545
mBERT_cased,8,512,0.1109
mBERT_cased,16,1,0.0065
mBERT_cased,16,2,0.0074
mBERT_cased,16,4,0.0075
mBERT_cased,16,8,0.0074
mBERT_cased,16,16,0.0095
mBERT_cased,16,32,0.0156
mBERT_cased,16,64,0.0279
mBERT_cased,16,128,0.0530
mBERT_cased,16,256,0.1040
mBERT_cased,16,512,0.2198
mBERT_cased,32,1,0.0067
mBERT_cased,32,2,0.0075
mBERT_cased,32,4,0.0074
mBERT_cased,32,8,0.0094
mBERT_cased,32,16,0.0156
mBERT_cased,32,32,0.0278
mBERT_cased,32,64,0.0523
mBERT_cased,32,128,0.1004
mBERT_cased,32,256,0.2057
mBERT_cased,32,512,0.4321
XLM-R_base,1,1,0.0061
XLM-R_base,1,2,0.0063
XLM-R_base,1,4,0.0065
XLM-R_base,1,8,0.0069
XLM-R_base,1,16,0.0068
XLM-R_base,1,32,0.0074
XLM-R_base,1,64,0.0078
XLM-R_base,1,128,0.0082
XLM-R_base,1,256,0.0131
XLM-R_base,1,512,0.0237
XLM-R_base,2,1,0.0061
XLM-R_base,2,2,0.0068
XLM-R_base,2,4,0.0071
XLM-R_base,2,8,0.0072
XLM-R_base,2,16,0.0075
XLM-R_base,2,32,0.0080
XLM-R_base,2,64,0.0084
XLM-R_base,2,128,0.0131
XLM-R_base,2,256,0.0229
XLM-R_base,2,512,0.0430
XLM-R_base,4,1,0.0062
XLM-R_base,4,2,0.0071
XLM-R_base,4,4,0.0072
XLM-R_base,4,8,0.0076
XLM-R_base,4,16,0.0077
XLM-R_base,4,32,0.0083
XLM-R_base,4,64,0.0130
XLM-R_base,4,128,0.0220
XLM-R_base,4,256,0.0415
XLM-R_base,4,512,0.0829
XLM-R_base,8,1,0.0066
XLM-R_base,8,2,0.0072
XLM-R_base,8,4,0.0076
XLM-R_base,8,8,0.0077
XLM-R_base,8,16,0.0083
XLM-R_base,8,32,0.0130
XLM-R_base,8,64,0.0217
XLM-R_base,8,128,0.0407
XLM-R_base,8,256,0.0790
XLM-R_base,8,512,0.1593
XLM-R_base,16,1,0.0065
XLM-R_base,16,2,0.0076
XLM-R_base,16,4,0.0077
XLM-R_base,16,8,0.0083
XLM-R_base,16,16,0.0129
XLM-R_base,16,32,0.0222
XLM-R_base,16,64,0.0401
XLM-R_base,16,128,0.0772
XLM-R_base,16,256,0.1523
XLM-R_base,16,512,0.3186
XLM-R_base,32,1,0.0070
XLM-R_base,32,2,0.0077
XLM-R_base,32,4,0.0082
XLM-R_base,32,8,0.0129
XLM-R_base,32,16,0.0221
XLM-R_base,32,32,0.0397
XLM-R_base,32,64,0.0763
XLM-R_base,32,128,0.1484
XLM-R_base,32,256,0.3041
XLM-R_base,32,512,0.6324
XLM-R_large,1,1,0.0117
XLM-R_large,1,2,0.0130
XLM-R_large,1,4,0.0130
XLM-R_large,1,8,0.0141
XLM-R_large,1,16,0.0138
XLM-R_large,1,32,0.0140
XLM-R_large,1,64,0.0141
XLM-R_large,1,128,0.0163
XLM-R_large,1,256,0.0267
XLM-R_large,1,512,0.0518
XLM-R_large,2,1,0.0126
XLM-R_large,2,2,0.0135
XLM-R_large,2,4,0.0146
XLM-R_large,2,8,0.0143
XLM-R_large,2,16,0.0144
XLM-R_large,2,32,0.0149
XLM-R_large,2,64,0.0166
XLM-R_large,2,128,0.0266
XLM-R_large,2,256,0.0504
XLM-R_large,2,512,0.1025
XLM-R_large,4,1,0.0127
XLM-R_large,4,2,0.0146
XLM-R_large,4,4,0.0143
XLM-R_large,4,8,0.0147
XLM-R_large,4,16,0.0146
XLM-R_large,4,32,0.0166
XLM-R_large,4,64,0.0261
XLM-R_large,4,128,0.0481
XLM-R_large,4,256,0.0957
XLM-R_large,4,512,0.1938
XLM-R_large,8,1,0.0134
XLM-R_large,8,2,0.0146
XLM-R_large,8,4,0.0144
XLM-R_large,8,8,0.0145
XLM-R_large,8,16,0.0165
XLM-R_large,8,32,0.0262
XLM-R_large,8,64,0.0474
XLM-R_large,8,128,0.0934
XLM-R_large,8,256,0.1822
XLM-R_large,8,512,0.3826
XLM-R_large,16,1,0.0132
XLM-R_large,16,2,0.0146
XLM-R_large,16,4,0.0148
XLM-R_large,16,8,0.0165
XLM-R_large,16,16,0.0261
XLM-R_large,16,32,0.0472
XLM-R_large,16,64,0.0924
XLM-R_large,16,128,0.1763
XLM-R_large,16,256,0.3589
XLM-R_large,16,512,0.7646
XLM-R_large,32,1,0.0135
XLM-R_large,32,2,0.0144
XLM-R_large,32,4,0.0165
XLM-R_large,32,8,0.0262
XLM-R_large,32,16,0.0478
XLM-R_large,32,32,0.0920
XLM-R_large,32,64,0.1757
XLM-R_large,32,128,0.3487
XLM-R_large,32,256,0.7174
XLM-R_large,32,512,1.5216
GPT-2,1,1,0.0071
GPT-2,1,2,0.0067
GPT-2,1,4,0.0067
GPT-2,1,8,0.0085
GPT-2,1,16,0.0086
GPT-2,1,32,0.0072
GPT-2,1,64,0.0070
GPT-2,1,128,0.0070
GPT-2,1,256,0.0077
GPT-2,1,512,0.0144
GPT-2,2,1,0.0069
GPT-2,2,2,0.0070
GPT-2,2,4,0.0072
GPT-2,2,8,0.0072
GPT-2,2,16,0.0072
GPT-2,2,32,0.0072
GPT-2,2,64,0.0074
GPT-2,2,128,0.0081
GPT-2,2,256,0.0136
GPT-2,2,512,0.0263
GPT-2,4,1,0.0070
GPT-2,4,2,0.0073
GPT-2,4,4,0.0074
GPT-2,4,8,0.0074
GPT-2,4,16,0.0073
GPT-2,4,32,0.0092
GPT-2,4,64,0.0081
GPT-2,4,128,0.0129
GPT-2,4,256,0.0251
GPT-2,4,512,0.0496
GPT-2,8,1,0.0073
GPT-2,8,2,0.0075
GPT-2,8,4,0.0073
GPT-2,8,8,0.0072
GPT-2,8,16,0.0073
GPT-2,8,32,0.0081
GPT-2,8,64,0.0123
GPT-2,8,128,0.0242
GPT-2,8,256,0.0457
GPT-2,8,512,0.0942
GPT-2,16,1,0.0073
GPT-2,16,2,0.0074
GPT-2,16,4,0.0073
GPT-2,16,8,0.0073
GPT-2,16,16,0.0080
GPT-2,16,32,0.0126
GPT-2,16,64,0.0235
GPT-2,16,128,0.0425
GPT-2,16,256,0.0868
GPT-2,16,512,0.1825
GPT-2,32,1,0.0074
GPT-2,32,2,0.0076
GPT-2,32,4,0.0093
GPT-2,32,8,0.0093
GPT-2,32,16,0.0125
GPT-2,32,32,0.0235
GPT-2,32,64,0.0427
GPT-2,32,128,0.0817
GPT-2,32,256,0.1674
GPT-2,32,512,0.3614
BART_large,1,1,0.0112
BART_large,1,2,0.0140
BART_large,1,4,0.0142
BART_large,1,8,0.0156
BART_large,1,16,0.0152
BART_large,1,32,0.0159
BART_large,1,64,0.0156
BART_large,1,128,0.0159
BART_large,1,256,0.0228
BART_large,1,512,0.0449
BART_large,2,1,0.0122
BART_large,2,2,0.0140
BART_large,2,4,0.0156
BART_large,2,8,0.0154
BART_large,2,16,0.0154
BART_large,2,32,0.0158
BART_large,2,64,0.0158
BART_large,2,128,0.0220
BART_large,2,256,0.0415
BART_large,2,512,0.0858
BART_large,4,1,0.0122
BART_large,4,2,0.0154
